Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_RegressionTest,Firefox 59.0,,2019-01-07 13:59:13,2019-01-07 14:00:02,49.039s,FAILED
,,,,,,
Test Cases/Main Test Cases/TC1_Verify Successful Login,Firefox 59.0,"Verify if users can login successful. 

Steps:
- Click on 'Book Appointment' button to login
- Input username and password
- Click on 'Login' button

Expected result:
'Appointment' section is displayed after successful login",2019-01-07 13:59:13,2019-01-07 13:59:49,35.449s,FAILED
"comment(""Story: Login to CURA system"")",Firefox 59.0,,2019-01-07 13:59:14,2019-01-07 13:59:14,0.327s,PASSED
"comment(""Given that the user has the valid login information"")",Firefox 59.0,,2019-01-07 13:59:14,2019-01-07 13:59:14,0.008s,PASSED
openBrowser(G_SiteURL),Firefox 59.0,,2019-01-07 13:59:14,2019-01-07 13:59:49,34.081s,FAILED
,,,,,,
Test Cases/Main Test Cases/TC2_Verify Successful Appointment,Firefox 59.0,"Verify if users can book an appointment sucessfully.
Pre-condition: Users have already logged in

Steps:
- Fill in appoinment's information
- Click on appointment's button

Expected results:
Appointment Confirmation page is displayed",2019-01-07 13:59:49,2019-01-07 14:00:00,11.179s,FAILED
"comment(""Story: Book an appointment"")",Firefox 59.0,,2019-01-07 13:59:49,2019-01-07 13:59:49,0.007s,PASSED
"comment(""Given that the user has logged into their account"")",Firefox 59.0,,2019-01-07 13:59:49,2019-01-07 13:59:49,0.006s,PASSED
openBrowser(G_SiteURL),Firefox 59.0,,2019-01-07 13:59:49,2019-01-07 14:00:00,10.593s,FAILED
